user_id,country,signup_date,subscription_plan,signup_channel,churn_date
1,USA,2023-09-05,Free,App Store,2024-06-08
2,France,2024-06-05,Free,Influencer Referral,2024-08-15
3,USA,2024-04-18,Free,Influencer Referral,2024-07-30
4,USA,2024-01-23,Premium Family,Social Media Ads,2024-08-27
5,Italy,2024-01-21,Free,Influencer Referral,2024-05-24
6,Brazil,2024-07-09,Free,Influencer Referral,2025-08-05
7,France,2023-09-04,Premium Family,Influencer Referral,2024-07-02
8,Italy,2024-05-05,Premium Family,Organic Search,2024-06-16
9,Germany,2023-10-20,Premium Student,App Store,2024-03-14
10,Germany,2023-09-07,Premium Individual,Social Media Ads,2024-05-11
11,USA,2024-02-27,Free,Influencer Referral,2024-05-23
12,USA,2024-08-25,Free,App Store,2024-12-06
13,Germany,2024-05-21,Free,Organic Search,2024-07-03
14,France,2024-05-31,Premium Individual,Social Media Ads,2024-07-26
15,Brazil,2024-05-13,Premium Individual,Social Media Ads,2025-06-01
16,Brazil,2024-06-10,Premium Student,Social Media Ads,2025-02-25
17,Germany,2024-02-22,Premium Individual,Influencer Referral,2024-07-09
18,UK,2023-09-21,Premium Individual,Organic Search,2024-03-07
19,UK,2024-07-01,Free,Social Media Ads,2025-02-11
20,Germany,2024-01-28,Free,Social Media Ads,2024-11-27
21,France,2024-02-17,Premium Student,Social Media Ads,2024-07-03
22,Italy,2023-12-27,Premium Individual,Social Media Ads,2024-06-10
23,UK,2023-10-13,Premium Individual,Organic Search,2024-05-13
24,USA,2024-08-05,Free,Organic Search,2024-10-11
25,Germany,2024-06-08,Premium Family,Social Media Ads,2024-09-21
26,Brazil,2024-04-14,Premium Individual,App Store,2025-02-09
27,France,2024-01-08,Premium Individual,Influencer Referral,2024-12-07
28,France,2024-06-25,Free,Influencer Referral,2025-03-23
29,Germany,2024-03-06,Premium Individual,Organic Search,2025-03-13
30,France,2024-01-25,Free,App Store,2025-01-23
31,Italy,2024-01-28,Free,Organic Search,2024-10-26
32,France,2023-10-30,Premium Individual,Influencer Referral,2024-08-12
33,USA,2023-09-06,Premium Individual,App Store,2024-02-05
34,Brazil,2024-03-09,Free,Influencer Referral,2024-04-12
35,Brazil,2024-07-21,Premium Individual,Organic Search,2024-11-30
