stream_id,user_id,track_id,platform_id,listen_date,listen_hour,device_type,connection_type,stream_source,is_skipped,is_liked,listen_duration_sec,royalty_cost,revenue_generated
22,18036,19,1,2024-05-11,7,Tablet,Wifi,Algorithmic,True,False,2,0.0,0.0057
23,33874,5,2,2024-11-16,10,Tablet,Wifi,Search,False,False,163,0.00135,0.00198
44,16854,27,1,2024-07-19,3,Smart Speaker,Wifi,Algorithmic,False,False,193,0.00095,0.00139
52,4401,13,3,2024-02-14,18,Mobile iOS,Cellular,Algorithmic,False,False,158,0.00403,0.00593
65,28539,5,4,2024-10-31,18,Mobile Android,Wifi,Algorithmic,False,False,160,0.00404,0.00594
69,34832,77,4,2024-04-17,9,Tablet,Wifi,Algorithmic,False,False,238,0.00386,0.00567
70,28458,86,4,2024-07-17,18,Smart Speaker,Wifi,Search,False,False,216,0.00391,0.00575
97,18693,53,4,2024-03-11,15,Mobile iOS,Offline,Search,False,False,155,0.00473,0.00696
128,35841,77,1,2024-10-11,17,Tablet,Wifi,Editorial,False,False,160,0.00613,0.00901
129,39674,37,2,2024-08-31,5,Smart Speaker,Wifi,Search,True,False,16,0.0,0.00622
136,6561,62,4,2024-12-27,7,Desktop,Wifi,Search,False,True,172,0.00439,0.00646
169,22695,62,1,2024-03-23,14,Mobile Android,Cellular,Search,False,True,183,0.00093,0.00137
174,33560,80,1,2024-10-10,17,Mobile Android,Wifi,Search,True,False,4,0.0,0.00219
187,28686,9,1,2024-11-02,0,Mobile Android,Offline,Search,False,False,168,0.00312,0.00459
189,43479,65,2,2024-11-08,19,Desktop,Cellular,Search,False,False,147,0.00531,0.00781
191,19219,35,1,2024-10-31,22,Mobile Android,Offline,Algorithmic,True,False,27,0.0,0.0093
193,5850,74,3,2024-12-07,2,Smart Speaker,Wifi,Search,True,False,14,0.0,0.00748
199,4061,83,3,2024-12-31,23,Tablet,Wifi,Algorithmic,False,True,144,0.00092,0.00136
200,28271,86,4,2024-11-16,17,Desktop,Wifi,Algorithmic,False,False,215,0.00102,0.0015
210,36289,7,1,2024-10-15,6,Smart Speaker,Offline,Search,False,False,174,0.0038,0.00559
216,11332,36,4,2024-07-15,22,Desktop,Wifi,Search,False,False,130,0.00338,0.00497
224,40015,59,2,2024-07-28,23,Mobile Android,Wifi,Search,True,False,12,0.0,0.0098
229,40052,28,1,2024-08-12,23,Mobile iOS,Wifi,Algorithmic,False,False,250,0.00566,0.00833
232,38556,82,1,2024-07-14,23,Mobile Android,Cellular,Algorithmic,False,False,163,0.00618,0.00909
234,27535,19,3,2024-05-14,10,Tablet,Wifi,Search,False,False,186,0.00537,0.0079
266,18945,10,4,2024-11-19,3,Tablet,Wifi,Editorial,False,False,131,0.00617,0.00908
280,33509,1,1,2024-07-17,4,Desktop,Wifi,Search,False,True,135,0.0062,0.00912
304,190,53,1,2024-02-16,21,Mobile Android,Wifi,Search,False,True,148,0.00434,0.00638
310,11982,46,3,2024-05-28,15,Smart Speaker,Wifi,Search,False,False,222,0.00127,0.00187
319,41093,62,2,2024-03-25,10,Smart Speaker,Wifi,Editorial,False,False,173,0.00441,0.00649
320,3639,36,3,2024-06-12,8,Smart Speaker,Wifi,Editorial,True,False,16,0.0,0.0067
337,10680,1,1,2024-07-14,6,Smart Speaker,Wifi,Algorithmic,False,False,130,0.00112,0.00164
344,29718,58,2,2024-10-19,11,Mobile iOS,Wifi,Editorial,False,False,175,0.00099,0.00145
353,31085,21,2,2024-09-27,16,Smart Speaker,Wifi,Editorial,True,False,18,0.0,0.00162
360,21356,17,3,2024-07-22,5,Tablet,Cellular,Editorial,False,False,207,0.00655,0.00963
364,39297,19,1,2024-05-05,22,Tablet,Wifi,Search,True,False,10,0.0,0.00205
389,28575,33,4,2024-08-18,14,Mobile Android,Wifi,Search,False,False,207,0.00433,0.00637
390,28581,77,4,2024-09-08,11,Desktop,Cellular,Algorithmic,False,False,159,0.00115,0.00169
403,8157,95,4,2024-05-10,4,Mobile Android,Cellular,Search,False,False,295,0.00101,0.00149
427,24492,9,1,2024-06-05,8,Desktop,Cellular,Search,False,True,239,0.00143,0.00211
430,44760,25,4,2024-05-07,12,Smart Speaker,Offline,Editorial,False,False,104,0.00356,0.00524
439,20160,24,2,2024-07-14,21,Mobile iOS,Wifi,Algorithmic,False,True,208,0.0038,0.00559
458,8033,32,3,2024-12-11,13,Tablet,Cellular,Search,True,False,29,0.0,0.00142
479,12545,2,4,2024-05-11,23,Desktop,Cellular,Algorithmic,False,False,162,0.00129,0.00189
520,24161,2,2,2024-12-26,13,Desktop,Offline,Editorial,False,True,201,0.00414,0.00609
526,35279,50,2,2024-10-30,10,Desktop,Wifi,Search,False,False,119,0.00289,0.00425
531,29324,4,3,2024-06-06,0,Mobile iOS,Cellular,Search,False,False,273,0.00098,0.00144
590,33029,5,4,2024-04-13,18,Smart Speaker,Wifi,Algorithmic,False,False,132,0.00129,0.00189
596,42628,19,3,2024-01-10,6,Smart Speaker,Wifi,Editorial,False,False,190,0.00416,0.00612
607,16955,18,3,2024-10-22,14,Desktop,Wifi,Search,False,True,141,0.0013,0.00191
630,40700,79,1,2024-11-15,10,Mobile iOS,Wifi,Algorithmic,False,False,198,0.00115,0.00169
